tipo_producto,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,score_latente,exito,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta
servicio,online,73.0,46.53,26.47,36.26,1,44,27,media,44.24,1,8,Me encanta este producto,0.5,70.5,1
fisico,ecommerce,69.83,32.37,37.46,53.64,10,41,79,media,36.31,0,1,No conecté con este producto,-0.5,4.5,0
fisico,ecommerce,108.96,50.12,58.84,54.0,8,58,59,alta,40.67,0,4,No me sentí identificado,-0.5,25.5,0
servicio,hibrido,208.14,102.23,105.91,50.88,7,10,23,baja,14.94,0,6,No me sentí identificado,-0.5,41.5,0
fisico,tienda_de_conveniencia,75.84,43.69,32.15,42.39,9,10,55,baja,26.18,0,4,No me convence del todo,-0.5,25.5,0
servicio,online,232.35,107.84,124.51,53.59,5,36,35,media,21.65,0,4,No conecté con este producto,-0.5,27.5,0
digital,app_store,184.2,100.37,83.83,45.51,5,80,69,media,54.37,1,8,Se siente muy bien usarlo,0.5,66.5,1
fisico,ecommerce,103.38,47.95,55.43,53.62,5,93,71,baja,50.82,1,7,Me encanta este producto,0.5,61.5,1
fisico,tienda_de_conveniencia,98.48,39.57,58.91,59.82,9,78,58,media,45.61,1,10,Se siente muy bien usarlo,0.5,82.5,1
fisico,super,50.14,25.75,24.39,48.64,5,22,61,media,38.93,0,6,No conecté con este producto,-0.5,39.5,0
fisico,tienda_de_conveniencia,84.56,58.04,26.52,31.36,4,17,76,media,35.53,0,2,No me sentí identificado,-0.5,11.5,0
fisico,super,92.14,45.31,46.83,50.82,9,44,70,alta,42.39,1,8,La experiencia fue muy positiva,0.5,68.5,1
fisico,tienda_de_conveniencia,90.06,56.76,33.3,36.98,8,46,38,media,40.31,0,2,No conecté con este producto,-0.5,11.5,0
digital,web_saas,97.86,47.44,50.42,51.52,9,79,30,baja,40.91,0,5,No me sentí identificado,-0.5,30.5,0
fisico,retail,68.15,43.6,24.55,36.02,9,52,49,alta,40.05,0,1,No me sentí identificado,-0.5,4.5,0
fisico,super,103.38,47.43,55.95,54.12,2,84,93,alta,60.25,1,8,Se siente muy bien usarlo,0.5,68.5,1
fisico,ecommerce,118.54,56.69,61.85,52.18,6,51,74,media,44.71,1,8,Me encanta este producto,0.5,68.5,1
servicio,presencial,203.22,104.91,98.31,48.38,9,17,71,media,22.8,0,1,La experiencia no fue lo que esperaba,-0.5,6.5,0
servicio,hibrido,182.94,74.78,108.16,59.12,7,52,27,alta,35.78,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
digital,marketplace,205.6,103.14,102.46,49.83,1,88,65,alta,44.75,1,7,Se siente muy bien usarlo,0.5,59.5,0
digital,web_saas,128.97,58.2,70.77,54.87,10,50,86,baja,50.31,1,10,Se siente muy bien usarlo,0.5,80.5,1
fisico,ecommerce,85.67,47.7,37.97,44.32,3,52,65,baja,39.86,0,2,No me convence del todo,-0.5,11.5,0
servicio,online,148.35,99.6,48.75,32.86,8,89,56,media,38.64,0,4,No me convence del todo,-0.5,27.5,0
servicio,hibrido,209.37,122.14,87.23,41.66,10,27,99,media,32.09,0,4,Probablemente no lo volvería a usar,0.0,35.0,0
digital,web_saas,200.69,126.58,74.11,36.93,8,87,87,alta,46.44,1,7,La experiencia fue muy positiva,0.5,59.5,0
servicio,hibrido,169.07,96.53,72.54,42.91,3,39,29,baja,30.09,0,5,No me convence del todo,-0.5,34.5,0
servicio,presencial,227.65,158.13,69.52,30.54,4,71,89,media,41.2,0,3,Probablemente no lo volvería a usar,0.0,28.0,0
fisico,tienda_de_conveniencia,114.41,63.97,50.44,44.09,1,89,47,alta,59.98,1,9,Lo volvería a elegir,0.5,75.5,1
servicio,presencial,133.8,91.36,42.44,31.72,5,94,49,media,44.44,1,8,La experiencia fue muy positiva,0.5,70.5,1
fisico,retail,40.72,26.78,13.94,34.23,4,95,50,alta,52.37,1,8,Me identifico con la marca,0.5,68.5,1
fisico,retail,52.97,32.84,20.13,38.0,4,24,40,media,31.84,0,3,La experiencia no fue lo que esperaba,-0.5,18.5,0
digital,app_store,190.74,114.1,76.64,40.18,10,74,48,baja,26.63,0,5,La experiencia no fue lo que esperaba,-0.5,30.5,0
servicio,hibrido,212.51,113.13,99.38,46.76,5,23,87,media,33.45,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
digital,web_saas,22.08,10.48,11.6,52.54,7,86,21,media,51.96,1,9,Lo volvería a elegir,0.5,73.5,1
digital,app_store,159.19,93.72,65.47,41.13,2,93,85,baja,57.01,1,8,Me identifico con la marca,0.5,66.5,1
fisico,retail,73.26,37.16,36.1,49.28,10,10,51,baja,27.87,0,6,No conecté con este producto,-0.5,39.5,0
digital,app_store,171.65,103.22,68.43,39.87,4,88,25,alta,37.01,0,4,No conecté con este producto,-0.5,23.5,0
digital,marketplace,192.06,92.86,99.2,51.65,4,67,42,media,37.74,0,4,Probablemente no lo volvería a usar,0.0,31.0,0
servicio,online,213.86,128.49,85.37,39.92,5,33,96,baja,25.54,0,1,No me sentí identificado,-0.5,6.5,0
fisico,super,66.53,37.02,29.51,44.36,1,99,22,media,54.37,1,10,Lo volvería a elegir,0.5,82.5,1
digital,marketplace,109.21,49.24,59.97,54.91,3,92,56,media,52.44,1,10,Me encanta este producto,0.5,80.5,1
digital,app_store,130.03,72.22,57.81,44.46,5,28,27,media,31.48,0,3,La experiencia no fue lo que esperaba,-0.5,16.5,0
fisico,ecommerce,62.64,40.32,22.32,35.63,9,53,33,media,42.35,1,8,Me identifico con la marca,0.5,68.5,1
servicio,online,162.63,74.11,88.52,54.43,2,51,55,alta,44.23,1,7,La experiencia fue muy positiva,0.5,63.5,1
digital,app_store,179.38,91.62,87.76,48.92,7,83,100,baja,50.17,1,9,Me encanta este producto,0.5,73.5,1
digital,marketplace,98.4,58.16,40.24,40.89,4,74,60,media,47.76,1,7,Lo volvería a elegir,0.5,59.5,0
servicio,online,260.33,167.4,92.93,35.7,7,36,24,media,16.23,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
digital,marketplace,114.82,58.76,56.06,48.82,1,31,83,media,44.25,1,8,La experiencia fue muy positiva,0.5,66.5,1
servicio,hibrido,268.72,112.01,156.71,58.32,9,33,40,media,13.69,0,5,No me sentí identificado,-0.5,34.5,0
servicio,online,62.56,37.41,25.15,40.2,9,97,93,alta,67.31,1,7,La experiencia fue muy positiva,0.5,63.5,1
servicio,hibrido,46.29,27.34,18.95,40.94,4,62,56,media,52.48,1,8,Me encanta este producto,0.5,70.5,1
digital,web_saas,175.75,111.75,64.0,36.42,5,57,56,baja,38.45,0,2,La experiencia no fue lo que esperaba,-0.5,9.5,0
digital,marketplace,173.06,71.25,101.81,58.83,2,29,65,alta,43.49,1,9,La experiencia fue muy positiva,0.5,73.5,1
servicio,presencial,112.12,59.72,52.4,46.74,10,13,99,baja,42.81,1,7,Me encanta este producto,0.5,63.5,1
servicio,presencial,132.75,91.39,41.36,31.16,3,12,83,baja,39.1,0,3,No conecté con este producto,-0.5,20.5,0
servicio,presencial,270.96,124.94,146.02,53.89,4,61,66,alta,36.48,0,6,Probablemente no lo volvería a usar,0.0,49.0,0
digital,marketplace,98.0,45.56,52.44,53.51,5,43,99,media,53.17,1,8,Se siente muy bien usarlo,0.5,66.5,1
digital,web_saas,145.56,81.09,64.47,44.29,3,10,32,media,27.82,0,5,No me sentí identificado,-0.5,30.5,0
servicio,online,253.51,158.07,95.44,37.65,1,56,99,media,47.78,1,10,La experiencia fue muy positiva,0.5,84.5,1
servicio,hibrido,155.36,95.91,59.45,38.27,1,29,42,media,28.44,0,6,No conecté con este producto,-0.5,41.5,0
fisico,retail,98.3,55.29,43.01,43.75,2,13,22,alta,30.49,0,2,No conecté con este producto,-0.5,11.5,0
fisico,tienda_de_conveniencia,50.23,35.13,15.1,30.06,3,44,27,alta,43.81,1,8,La experiencia fue muy positiva,0.5,68.5,1
servicio,presencial,160.19,102.0,58.19,36.33,10,23,83,media,16.39,0,2,No me convence del todo,-0.5,13.5,0
digital,marketplace,172.94,97.82,75.12,43.44,8,97,64,alta,42.1,1,7,Me identifico con la marca,0.5,59.5,0
servicio,presencial,244.71,130.66,114.05,46.61,5,81,59,media,33.33,0,2,La experiencia no fue lo que esperaba,-0.5,13.5,0
servicio,online,135.66,66.36,69.3,51.08,7,51,23,media,36.11,0,5,No me convence del todo,-0.5,34.5,0
digital,web_saas,170.09,86.67,83.42,49.04,7,62,49,media,27.32,0,1,No conecté con este producto,-0.5,2.5,0
digital,web_saas,98.7,49.83,48.87,49.51,5,24,100,baja,41.47,0,6,No me sentí identificado,-0.5,37.5,0
servicio,presencial,61.72,31.62,30.1,48.77,6,90,46,alta,50.64,1,9,La experiencia fue muy positiva,0.5,77.5,1
servicio,hibrido,148.92,91.77,57.15,38.38,7,85,92,alta,60.13,1,9,Lo volvería a elegir,0.5,77.5,1
digital,marketplace,111.14,71.53,39.61,35.64,5,10,46,media,27.35,0,6,No me convence del todo,-0.5,37.5,0
servicio,hibrido,140.05,95.35,44.7,31.92,8,24,34,baja,23.44,0,6,No conecté con este producto,-0.5,41.5,0
fisico,retail,70.16,28.57,41.59,59.28,1,28,43,media,50.95,1,8,La experiencia fue muy positiva,0.5,68.5,1
fisico,retail,92.49,45.09,47.4,51.25,2,97,28,baja,45.75,1,8,Me encanta este producto,0.5,68.5,1
fisico,retail,73.8,45.12,28.68,38.86,2,82,45,baja,50.16,1,8,Me encanta este producto,0.5,68.5,1
fisico,tienda_de_conveniencia,97.63,60.59,37.04,37.94,6,24,32,media,32.17,0,2,No conecté con este producto,-0.5,11.5,0
digital,app_store,219.0,145.35,73.65,33.63,10,26,74,media,22.04,0,4,Probablemente no lo volvería a usar,0.0,31.0,0
fisico,retail,91.5,42.14,49.36,53.95,2,99,48,media,60.59,1,7,Se siente muy bien usarlo,0.5,61.5,1
fisico,ecommerce,95.19,38.76,56.43,59.28,6,37,68,alta,40.09,0,2,Probablemente no lo volvería a usar,0.0,19.0,0
fisico,super,99.75,65.6,34.15,34.24,6,45,65,media,42.81,1,10,Se siente muy bien usarlo,0.5,82.5,1
digital,web_saas,105.22,55.71,49.51,47.05,3,15,37,media,37.27,0,6,No me sentí identificado,-0.5,37.5,0
servicio,presencial,272.13,116.97,155.16,57.02,9,33,53,media,18.75,0,5,Probablemente no lo volvería a usar,0.0,42.0,0
digital,marketplace,189.04,124.12,64.92,34.34,5,18,88,media,34.96,0,4,Probablemente no lo volvería a usar,0.0,31.0,0
digital,web_saas,158.04,81.47,76.57,48.45,2,62,28,baja,38.81,0,2,No conecté con este producto,-0.5,9.5,0
digital,app_store,149.39,80.51,68.88,46.11,8,75,46,baja,31.12,0,2,No conecté con este producto,-0.5,9.5,0
fisico,tienda_de_conveniencia,87.04,58.05,28.99,33.31,4,86,32,alta,44.67,1,10,La experiencia fue muy positiva,0.5,82.5,1
digital,web_saas,115.19,78.86,36.33,31.54,7,85,67,media,52.99,1,7,La experiencia fue muy positiva,0.5,59.5,0
fisico,retail,77.0,46.76,30.24,39.27,4,82,28,media,46.73,1,10,Me encanta este producto,0.5,82.5,1
servicio,presencial,249.32,157.06,92.26,37.0,1,56,63,media,29.36,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
servicio,online,164.22,76.58,87.64,53.37,7,34,62,alta,33.85,0,5,No me convence del todo,-0.5,34.5,0
fisico,retail,63.18,26.61,36.57,57.88,1,14,75,alta,38.54,0,6,No me convence del todo,-0.5,39.5,0
