marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,score_latente,exito
GoldenGrain,cereal,marketplace,106.14,55.91,50.23,47.32,7,69,34,alta,5,Es un cereal promedio,0,40.0,0,3.12,0
ChocoBoom,cereal,retail,125.96,56.82,69.14,54.89,7,54,78,media,7,Solo lo compraría en promoción,0,54.0,0,9.23,0
CerealNova,cereal,retail,41.85,24.73,17.12,40.91,8,83,50,media,8,Me identifico con esta marca,1,76.0,1,14.04,1
GoldenGrain,cereal,retail,166.29,100.85,65.44,39.35,6,48,32,media,5,Podría mejorar,0,40.0,0,-13.86,0
CerealNova,cereal,marketplace,106.88,62.82,44.06,41.22,8,67,93,alta,8,Me gusta mucho esta marca,1,76.0,1,6.37,0
CrunchMax,cereal,retail,51.31,24.91,26.4,51.45,4,89,55,media,8,Me gusta mucho esta marca,1,76.0,1,38.02,1
FiberPlus,cereal,retail,109.31,54.81,54.5,49.86,6,68,64,alta,7,Nada extraordinario,0,54.0,0,24.84,1
FiberPlus,cereal,retail,94.86,58.38,36.48,38.46,6,68,66,media,8,Me identifico con esta marca,1,76.0,1,34.96,1
ChocoBoom,cereal,marketplace,75.85,40.61,35.24,46.46,8,81,60,media,7,"Está bien, cumple",0,54.0,0,13.06,1
KidsStar,cereal,retail,102.38,48.16,54.22,52.96,6,68,50,baja,5,Podría mejorar,0,40.0,0,6.98,0
FitMorning,cereal,retail,110.96,63.94,47.02,42.38,7,70,44,alta,5,"Está bien, cumple",0,40.0,0,1.27,0
FiberPlus,cereal,retail,69.17,45.26,23.91,34.57,6,66,79,baja,6,Solo lo compraría en promoción,0,47.0,0,6.78,0
FitMorning,cereal,marketplace,87.29,50.51,36.78,42.14,7,66,60,media,5,Es un cereal promedio,0,40.0,0,11.27,1
ChocoBoom,cereal,retail,93.21,53.61,39.6,42.48,6,66,54,media,6,Es un cereal promedio,0,47.0,0,7.64,0
CerealNova,cereal,retail,91.04,42.35,48.69,53.48,7,55,59,baja,5,Es un cereal promedio,0,40.0,0,5.61,0
ChocoBoom,cereal,retail,104.45,72.28,32.17,30.8,6,94,57,alta,6,Nada extraordinario,0,47.0,0,22.11,1
CornCrisp,cereal,marketplace,92.95,63.65,29.3,31.52,7,53,57,baja,5,Solo lo compraría en promoción,0,40.0,0,-5.12,0
HoneyOats,cereal,retail,37.93,22.04,15.89,41.89,9,76,65,media,8,Excelente relación calidad-precio,1,76.0,1,4.52,0
CornCrisp,cereal,retail,72.4,40.95,31.45,43.44,9,78,48,media,7,"Está bien, cumple",0,54.0,0,10.36,0
GoldenGrain,cereal,retail,120.23,57.02,63.21,52.57,6,71,46,media,5,"Está bien, cumple",0,40.0,0,11.55,1
CerealNova,cereal,retail,104.95,70.5,34.45,32.83,9,73,75,alta,6,"Está bien, cumple",0,47.0,0,8.11,0
CerealNova,cereal,retail,83.87,41.93,41.94,50.01,9,72,62,alta,7,Solo lo compraría en promoción,0,54.0,0,-5.57,0
CrunchMax,cereal,retail,68.54,44.75,23.79,34.71,6,78,90,alta,9,Me identifico con esta marca,1,83.0,1,40.18,1
FiberPlus,cereal,retail,103.05,72.06,30.99,30.07,8,67,65,media,6,Nada extraordinario,0,47.0,0,-7.88,0
KidsStar,cereal,retail,74.74,41.26,33.48,44.8,8,68,65,baja,7,Podría mejorar,0,54.0,0,2.09,0
KidsStar,cereal,retail,50.26,23.2,27.06,53.84,6,85,81,media,9,Se siente de buena calidad,1,83.0,1,29.0,1
CornCrisp,cereal,retail,86.17,49.92,36.25,42.07,5,81,56,alta,9,Me gusta mucho esta marca,1,83.0,1,39.08,1
KidsStar,cereal,retail,80.66,43.38,37.28,46.22,6,80,63,alta,8,Excelente relación calidad-precio,1,76.0,1,28.71,1
FitMorning,cereal,marketplace,93.71,57.26,36.45,38.9,6,59,60,media,6,Nada extraordinario,0,47.0,0,19.34,1
HoneyOats,cereal,retail,106.08,53.88,52.2,49.21,7,49,59,baja,5,Podría mejorar,0,40.0,0,-12.51,0
GoldenGrain,cereal,retail,91.03,61.7,29.33,32.22,9,69,43,media,5,Podría mejorar,0,40.0,0,-14.89,0
CerealNova,cereal,retail,109.09,65.41,43.68,40.04,9,83,70,alta,7,Nada extraordinario,0,54.0,0,7.08,0
VitalMix,cereal,retail,111.78,76.82,34.96,31.28,6,60,73,baja,6,Podría mejorar,0,47.0,0,6.63,0
FitMorning,cereal,retail,103.17,61.32,41.85,40.56,6,65,81,media,5,Solo lo compraría en promoción,0,40.0,0,9.97,0
FitMorning,cereal,retail,92.14,62.9,29.24,31.73,8,76,79,media,6,Es un cereal promedio,0,47.0,0,16.08,1
VitalMix,cereal,retail,134.9,83.17,51.73,38.35,6,56,45,baja,6,Podría mejorar,0,47.0,0,-7.11,0
KidsStar,cereal,retail,61.7,32.81,28.89,46.82,9,73,57,alta,8,Me gusta mucho esta marca,1,76.0,1,9.98,0
VitalMix,cereal,marketplace,179.3,103.99,75.31,42.0,6,42,74,media,6,Nada extraordinario,0,47.0,0,21.24,1
FiberPlus,cereal,retail,118.04,64.21,53.83,45.6,7,66,59,media,4,No conecté con la marca,-1,18.0,0,7.53,0
HoneyOats,cereal,marketplace,80.59,38.95,41.64,51.67,3,86,70,alta,6,Podría mejorar,0,47.0,0,42.44,1
CerealNova,cereal,retail,108.7,67.38,41.32,38.01,9,65,52,media,6,Es un cereal promedio,0,47.0,0,-6.85,0
HoneyOats,cereal,retail,68.55,44.55,24.0,35.01,7,76,59,media,8,Excelente relación calidad-precio,1,76.0,1,20.77,1
VitalMix,cereal,retail,130.51,78.31,52.2,40.0,7,65,63,media,5,Es un cereal promedio,0,40.0,0,16.74,1
HoneyOats,cereal,retail,60.26,33.08,27.18,45.1,3,82,26,media,6,Solo lo compraría en promoción,0,47.0,0,36.64,1
VitalMix,cereal,marketplace,92.61,50.77,41.84,45.18,10,62,63,media,8,Me encanta el sabor y la textura,1,76.0,1,-2.05,0
CornCrisp,cereal,retail,57.16,39.96,17.2,30.09,6,87,43,alta,8,Me encanta el sabor y la textura,1,76.0,1,27.43,1
CornCrisp,cereal,retail,54.61,35.12,19.49,35.69,7,78,58,media,7,Podría mejorar,0,54.0,0,11.5,1
GoldenGrain,cereal,retail,136.36,67.27,69.09,50.67,6,67,44,alta,5,Es un cereal promedio,0,40.0,0,23.34,1
KidsStar,cereal,retail,78.67,39.09,39.58,50.31,7,84,66,media,8,Se siente de buena calidad,1,76.0,1,27.46,1
CornCrisp,cereal,marketplace,87.36,50.33,37.03,42.39,7,65,61,media,8,Se siente de buena calidad,1,76.0,1,13.56,1
CrunchMax,cereal,retail,91.15,56.33,34.82,38.2,9,68,66,media,4,No me gustó el sabor,-1,18.0,0,-7.93,0
FitMorning,cereal,retail,123.02,72.09,50.93,41.4,6,73,71,alta,6,"Está bien, cumple",0,47.0,0,9.45,0
FiberPlus,cereal,marketplace,101.9,72.48,29.42,28.87,9,65,63,alta,6,Solo lo compraría en promoción,0,47.0,0,10.26,0
ChocoBoom,cereal,marketplace,90.17,54.96,35.21,39.05,5,90,68,alta,8,Me identifico con esta marca,1,76.0,1,40.07,1
FiberPlus,cereal,marketplace,118.62,59.87,58.75,49.53,10,79,54,media,5,Podría mejorar,0,40.0,0,-15.73,0
VitalMix,cereal,marketplace,124.61,64.36,60.25,48.35,7,70,59,media,4,No me convence el producto,-1,18.0,0,0.8,0
FitMorning,cereal,retail,110.19,51.88,58.31,52.92,8,50,59,baja,7,Solo lo compraría en promoción,0,54.0,0,-3.58,0
VitalMix,cereal,retail,115.09,76.01,39.08,33.96,7,66,74,alta,8,Me identifico con esta marca,1,76.0,1,27.05,1
HoneyOats,cereal,retail,56.13,31.18,24.95,44.45,7,82,56,alta,5,Nada extraordinario,0,40.0,0,1.7,0
FiberPlus,cereal,retail,99.83,51.67,48.16,48.24,7,56,64,media,6,Es un cereal promedio,0,47.0,0,9.74,0
FitMorning,cereal,retail,74.67,51.62,23.05,30.87,7,87,63,alta,8,Me encanta el sabor y la textura,1,76.0,1,32.44,1
FiberPlus,cereal,retail,90.76,60.59,30.17,33.24,7,64,83,alta,6,"Está bien, cumple",0,47.0,0,21.26,1
CrunchMax,cereal,retail,50.7,31.04,19.66,38.78,7,78,71,media,6,Podría mejorar,0,47.0,0,19.01,1
KidsStar,cereal,retail,80.0,50.39,29.61,37.01,6,84,60,media,6,Nada extraordinario,0,47.0,0,26.24,1
ChocoBoom,cereal,retail,122.12,58.19,63.93,52.35,6,70,72,alta,10,Me identifico con esta marca,1,90.0,1,29.05,1
FiberPlus,cereal,marketplace,116.95,81.43,35.52,30.37,6,56,86,media,7,"Está bien, cumple",0,54.0,0,23.01,1
KidsStar,cereal,retail,56.85,29.79,27.06,47.6,7,81,66,media,7,Es un cereal promedio,0,54.0,0,16.69,1
HoneyOats,cereal,retail,78.78,49.85,28.93,36.72,7,84,43,media,6,Solo lo compraría en promoción,0,47.0,0,17.21,1
VitalMix,cereal,marketplace,75.95,45.12,30.83,40.59,9,61,68,baja,6,Podría mejorar,0,47.0,0,-3.97,0
HoneyOats,cereal,retail,107.0,59.89,47.11,44.03,7,74,59,alta,5,Es un cereal promedio,0,40.0,0,18.94,1
KidsStar,cereal,marketplace,59.45,43.22,16.23,27.3,7,72,80,media,7,Nada extraordinario,0,54.0,0,14.16,1
VitalMix,cereal,retail,94.89,53.69,41.2,43.42,4,60,43,media,5,"Está bien, cumple",0,40.0,0,21.1,1
GoldenGrain,cereal,retail,121.58,68.81,52.77,43.4,5,61,68,media,6,"Está bien, cumple",0,47.0,0,14.36,1
CornCrisp,cereal,retail,103.2,51.61,51.59,49.99,5,63,61,media,8,Me encanta el sabor y la textura,1,76.0,1,24.35,1
FiberPlus,cereal,retail,124.6,64.65,59.95,48.11,5,75,78,alta,5,Podría mejorar,0,40.0,0,18.61,1
ChocoBoom,cereal,retail,59.2,40.03,19.17,32.38,6,93,57,alta,8,Me gusta mucho esta marca,1,76.0,1,33.27,1
FitMorning,cereal,retail,104.59,54.67,49.92,47.73,9,55,46,baja,6,Nada extraordinario,0,47.0,0,-13.09,0
FiberPlus,cereal,retail,94.46,63.7,30.76,32.56,5,76,60,alta,5,Solo lo compraría en promoción,0,40.0,0,23.44,1
FitMorning,cereal,marketplace,88.87,60.51,28.36,31.91,6,77,62,media,6,Nada extraordinario,0,47.0,0,25.52,1
CerealNova,cereal,retail,94.91,58.5,36.41,38.36,8,52,42,baja,6,Es un cereal promedio,0,47.0,0,-14.0,0
ChocoBoom,cereal,marketplace,111.13,59.82,51.31,46.17,9,82,72,alta,6,Es un cereal promedio,0,47.0,0,4.8,0
ChocoBoom,cereal,marketplace,66.29,45.53,20.76,31.32,8,94,70,alta,9,Me gusta mucho esta marca,1,83.0,1,23.59,1
FiberPlus,cereal,marketplace,136.73,75.35,61.38,44.89,10,57,46,media,5,Solo lo compraría en promoción,0,40.0,0,-21.68,0
ChocoBoom,cereal,marketplace,102.52,69.58,32.94,32.13,5,72,88,media,8,Me gusta mucho esta marca,1,76.0,1,30.67,1
CornCrisp,cereal,retail,50.98,23.74,27.24,53.43,5,54,55,baja,7,Nada extraordinario,0,54.0,0,17.56,1
ChocoBoom,cereal,marketplace,109.13,64.86,44.27,40.57,5,67,47,media,7,Nada extraordinario,0,54.0,0,20.24,1
KidsStar,cereal,retail,79.43,54.86,24.57,30.93,9,78,69,media,7,Solo lo compraría en promoción,0,54.0,0,-14.44,0
KidsStar,cereal,marketplace,95.65,46.44,49.21,51.45,9,79,53,media,6,Es un cereal promedio,0,47.0,0,0.38,0
CornCrisp,cereal,marketplace,96.21,52.24,43.97,45.7,7,63,64,media,6,Podría mejorar,0,47.0,0,4.68,0
VitalMix,cereal,retail,90.2,47.68,42.52,47.14,6,77,72,media,7,Solo lo compraría en promoción,0,54.0,0,19.51,1
VitalMix,cereal,retail,86.93,55.04,31.89,36.68,6,60,73,media,6,Nada extraordinario,0,47.0,0,17.64,1
ChocoBoom,cereal,marketplace,78.65,39.16,39.49,50.21,8,84,37,alta,5,Es un cereal promedio,0,40.0,0,7.48,0
CornCrisp,cereal,retail,66.54,38.8,27.74,41.69,7,78,65,baja,7,Es un cereal promedio,0,54.0,0,12.66,1
KidsStar,cereal,marketplace,104.84,74.88,29.96,28.58,9,81,61,media,7,Solo lo compraría en promoción,0,54.0,0,5.4,0
HoneyOats,cereal,retail,105.0,72.0,33.0,31.43,6,58,43,baja,5,Podría mejorar,0,40.0,0,-3.05,0
CornCrisp,cereal,retail,81.65,39.59,42.06,51.51,7,75,44,media,5,Nada extraordinario,0,40.0,0,13.44,1
FitMorning,cereal,retail,104.15,69.17,34.98,33.59,6,72,74,media,7,Es un cereal promedio,0,54.0,0,19.34,1
HoneyOats,cereal,retail,37.94,26.28,11.66,30.73,8,78,45,media,6,Podría mejorar,0,47.0,0,4.25,0
ChocoBoom,cereal,marketplace,78.18,45.9,32.28,41.29,6,83,68,media,7,Es un cereal promedio,0,54.0,0,20.41,1
VitalMix,cereal,retail,105.54,61.07,44.47,42.14,9,76,65,alta,8,Me identifico con esta marca,1,76.0,1,4.03,0
VitalMix,cereal,retail,59.65,34.51,25.14,42.15,9,75,63,media,6,Podría mejorar,0,47.0,0,-3.83,0
VitalMix,cereal,retail,70.34,46.45,23.89,33.96,7,81,85,baja,7,Es un cereal promedio,0,54.0,0,15.35,1
GoldenGrain,cereal,retail,129.37,63.48,65.89,50.93,9,60,46,media,6,Nada extraordinario,0,47.0,0,-7.82,0
GoldenGrain,cereal,retail,143.73,72.5,71.23,49.56,6,38,36,baja,6,Nada extraordinario,0,47.0,0,-3.67,0
CerealNova,cereal,marketplace,92.92,54.05,38.87,41.83,10,73,55,media,5,Podría mejorar,0,40.0,0,-15.96,0
CornCrisp,cereal,marketplace,102.65,60.81,41.84,40.76,10,69,65,media,7,Es un cereal promedio,0,54.0,0,-7.55,0
VitalMix,cereal,retail,113.38,66.56,46.82,41.29,6,68,77,alta,4,No lo volvería a comprar,-1,18.0,0,22.43,1
FitMorning,cereal,retail,123.92,69.32,54.6,44.06,7,70,55,alta,8,Me gusta mucho esta marca,1,76.0,1,17.44,1
CrunchMax,cereal,retail,77.66,36.41,41.25,53.12,7,65,69,media,7,Nada extraordinario,0,54.0,0,14.93,1
ChocoBoom,cereal,retail,46.94,23.43,23.51,50.09,7,100,77,alta,7,"Está bien, cumple",0,54.0,0,13.75,1
KidsStar,cereal,retail,80.75,55.04,25.71,31.84,8,91,63,media,7,Nada extraordinario,0,54.0,0,13.74,1
CornCrisp,cereal,retail,78.29,46.35,31.94,40.8,4,78,45,media,6,Podría mejorar,0,47.0,0,22.02,1
CornCrisp,cereal,marketplace,84.27,46.5,37.77,44.82,9,67,68,media,7,Solo lo compraría en promoción,0,54.0,0,-1.8,0
ChocoBoom,cereal,marketplace,67.93,49.04,18.89,27.81,7,82,70,alta,8,Me gusta mucho esta marca,1,76.0,1,20.4,1
CrunchMax,cereal,retail,71.1,37.08,34.02,47.85,5,67,60,media,4,No me gustó el sabor,-1,18.0,0,30.36,1
ChocoBoom,cereal,retail,122.75,84.72,38.03,30.98,8,73,50,media,6,Solo lo compraría en promoción,0,47.0,0,-4.03,0
CrunchMax,cereal,marketplace,102.47,72.51,29.96,29.24,8,63,37,media,7,Nada extraordinario,0,54.0,0,4.56,0
FiberPlus,cereal,retail,104.22,55.75,48.47,46.51,8,55,57,media,6,Nada extraordinario,0,47.0,0,2.3,0
ChocoBoom,cereal,retail,73.46,34.58,38.88,52.93,5,99,65,alta,7,Nada extraordinario,0,54.0,0,25.88,1
CerealNova,cereal,retail,63.26,32.37,30.89,48.83,7,67,47,media,6,Nada extraordinario,0,47.0,0,3.77,0
FiberPlus,cereal,retail,122.19,73.2,48.99,40.09,10,69,75,alta,9,Me encanta el sabor y la textura,1,83.0,1,6.04,0
KidsStar,cereal,marketplace,82.72,48.2,34.52,41.73,8,72,72,media,7,Solo lo compraría en promoción,0,54.0,0,1.43,0
FitMorning,cereal,retail,91.95,51.07,40.88,44.46,9,66,71,media,5,Podría mejorar,0,40.0,0,0.4,0
KidsStar,cereal,marketplace,76.98,40.42,36.56,47.49,8,95,73,alta,8,Me encanta el sabor y la textura,1,76.0,1,23.86,1
CerealNova,cereal,retail,93.44,63.3,30.14,32.26,7,72,72,media,7,Nada extraordinario,0,54.0,0,18.26,1
VitalMix,cereal,retail,72.43,50.06,22.37,30.88,9,79,55,alta,7,Solo lo compraría en promoción,0,54.0,0,3.28,0
GoldenGrain,cereal,marketplace,87.51,60.76,26.75,30.57,7,76,52,media,6,"Está bien, cumple",0,47.0,0,8.44,0
ChocoBoom,cereal,retail,61.49,41.46,20.03,32.57,5,77,43,media,7,Nada extraordinario,0,54.0,0,13.39,1
ChocoBoom,cereal,retail,91.05,52.39,38.66,42.46,6,78,60,media,9,Se siente de buena calidad,1,83.0,1,31.35,1
KidsStar,cereal,retail,99.98,68.71,31.27,31.28,6,51,44,baja,8,Se siente de buena calidad,1,76.0,1,4.68,0
CerealNova,cereal,retail,95.28,44.93,50.35,52.84,5,86,51,alta,7,"Está bien, cumple",0,54.0,0,39.93,1
ChocoBoom,cereal,marketplace,96.29,52.53,43.76,45.45,8,60,63,media,6,"Está bien, cumple",0,47.0,0,1.36,0
HoneyOats,cereal,retail,63.23,43.3,19.93,31.52,7,73,49,media,8,Me identifico con esta marca,1,76.0,1,17.04,1
CerealNova,cereal,marketplace,40.2,28.0,12.2,30.35,10,93,53,media,6,Nada extraordinario,0,47.0,0,0.81,0
CerealNova,cereal,marketplace,112.88,73.88,39.0,34.55,7,75,61,alta,7,Es un cereal promedio,0,54.0,0,14.99,1
FitMorning,cereal,retail,99.13,63.71,35.42,35.73,8,66,54,media,6,Solo lo compraría en promoción,0,47.0,0,-5.64,0
CornCrisp,cereal,marketplace,84.2,49.03,35.17,41.77,7,72,60,baja,7,Solo lo compraría en promoción,0,54.0,0,1.05,0
CerealNova,cereal,retail,64.8,35.14,29.66,45.77,9,67,47,media,7,Nada extraordinario,0,54.0,0,-4.49,0
KidsStar,cereal,retail,71.84,35.0,36.84,51.28,6,75,31,media,7,Podría mejorar,0,54.0,0,8.03,0
GoldenGrain,cereal,retail,115.56,64.22,51.34,44.43,6,66,50,alta,7,Podría mejorar,0,54.0,0,21.22,1
FitMorning,cereal,retail,137.25,95.79,41.46,30.21,5,44,62,media,5,Solo lo compraría en promoción,0,40.0,0,9.5,0
CornCrisp,cereal,retail,64.58,44.58,20.0,30.97,7,78,35,media,5,Podría mejorar,0,40.0,0,11.08,1
ChocoBoom,cereal,retail,86.28,42.37,43.91,50.89,6,78,52,media,4,No lo volvería a comprar,-1,18.0,0,11.66,1
FitMorning,cereal,marketplace,146.28,72.26,74.02,50.6,8,62,67,alta,7,Es un cereal promedio,0,54.0,0,-3.09,0
ChocoBoom,cereal,marketplace,73.55,36.81,36.74,49.95,6,82,42,media,7,"Está bien, cumple",0,54.0,0,22.5,1
FiberPlus,cereal,retail,58.52,32.65,25.87,44.21,5,84,54,media,6,Podría mejorar,0,47.0,0,29.76,1
CerealNova,cereal,retail,54.41,26.56,27.85,51.19,8,77,44,media,8,Me identifico con esta marca,1,76.0,1,15.7,1
ChocoBoom,cereal,marketplace,78.34,43.14,35.2,44.93,5,91,70,media,10,Excelente relación calidad-precio,1,90.0,1,28.8,1
HoneyOats,cereal,retail,60.61,35.08,25.53,42.12,6,69,47,media,7,Nada extraordinario,0,54.0,0,12.25,1
GoldenGrain,cereal,retail,110.3,57.61,52.69,47.77,5,59,66,baja,6,Solo lo compraría en promoción,0,47.0,0,17.08,1
VitalMix,cereal,retail,80.28,55.45,24.83,30.93,6,68,62,media,6,Podría mejorar,0,47.0,0,15.67,1
CerealNova,cereal,retail,83.83,44.24,39.59,47.23,4,69,38,media,6,Podría mejorar,0,47.0,0,12.7,1
ChocoBoom,cereal,retail,77.21,42.72,34.49,44.67,7,93,92,alta,9,Excelente relación calidad-precio,1,83.0,1,39.98,1
GoldenGrain,cereal,retail,104.95,47.37,57.58,54.86,8,66,59,baja,6,Podría mejorar,0,47.0,0,-3.07,0
FiberPlus,cereal,retail,108.59,49.05,59.54,54.83,8,76,63,alta,6,Nada extraordinario,0,47.0,0,18.33,1
FiberPlus,cereal,retail,69.76,45.6,24.16,34.63,9,69,71,media,7,Solo lo compraría en promoción,0,54.0,0,6.32,0
KidsStar,cereal,marketplace,114.3,65.62,48.68,42.59,7,67,57,baja,10,Me gusta mucho esta marca,1,90.0,1,6.13,0
